Animal_ID	Age	Sex	Primary_classification_N	Class	Malnutrition	Trauma	Primary_bacterial_infection	Secondary_bacterial_infection	Congenital_defect	Protozoa	Otostrongylis	Herpes	Primary_classification
ES-2997	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3009	pup	Female	1	Control	1	0	0	0	1	0	0	0	Malnutrition
ES-3020	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3023	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3025	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3027	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3031	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3035	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3037	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3039	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3044	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3052	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3055	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3062	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3148	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3150	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3151	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3152	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3153	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3154	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3157	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3160	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3163	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3169	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3174	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3175	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3180	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3182	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3189	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3193	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3197	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3203	Pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3214	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3247	weaner	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3256	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3258	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3279	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3283	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3290	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3291	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3300	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3306	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3332	pup	Female	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-3357	pup	Male	1	Control	1	0	0	0	0	0	0	0	Malnutrition
ES-2532	pup	Female	2	Control	0	1	0	0	0	0	0	0	Trauma
ES-2551	pup	Male	2	Control	0	1	0	0	0	0	0	0	Trauma
ES-2554	pup	Male	2	Control	0	1	0	0	0	0	0	0	Trauma
ES-2628	Yearling	Female	2	Control	0	1	0	0	0	0	0	0	Trauma
ES-2719	pup	Female	2	Control	0	1	0	1	0	0	0	0	Trauma
ES-2787	pup	Male	2	Control	0	1	0	0	0	0	0	0	Trauma
ES-2792	pup	Male	2	Control	1	1	0	0	0	0	0	0	Trauma
ES-2816	pup	Male	2	Control	0	1	0	1	0	0	0	0	Trauma
ES-2826	pup	Male	2	Control	0	1	0	0	0	0	0	0	Trauma
ES-2829	pup	Male	2	Control	0	1	0	0	0	0	0	0	Trauma
ES-2832	Yearling	Male	2	Control	0	1	0	0	0	0	0	0	Trauma
ES-2852	pup	Male	2	Control	0	1	0	0	0	0	0	1	Trauma
ES-2868	pup	Male	2	Control	0	1	0	0	0	0	0	0	Trauma
ES-2872	pup	Male	2	Control	0	1	0	1	0	0	0	0	Trauma
ES-2956	pup	Male	2	Control	0	1	0	0	0	0	0	0	Trauma
ES-3011	pup	Male	2	Control	0	1	0	0	0	0	0	0	Trauma
ES-3155	pup	Female	2	Control	0	1	0	1	0	0	0	0	Trauma
ES-3354	pup	Female	2	Control	0	1	0	0	0	0	0	0	Trauma
Fn-Ma-012912	Pup	Male	2	Control	0	1	0	1	0	0	0	0	Trauma
ES-2593	pup	Male	3	Case	0	0	1	0	0	0	0	0	Primary_bacterial_infection
ES-3206	pup	Female	3	Case	1	0	1	1	0	0	0	0	Primary_bacterial_infection
ES-3207	pup	Male	3	Case	0	0	1	0	0	0	0	0	Primary_bacterial_infection
ES-3230	pup	Male	3	Case	0	0	1	0	0	0	0	0	Primary_bacterial_infection
ES-2557	pup	Male	3	Case	1	0	0	1	0	0	0	0	Secondary_bacterial_infection
ES-2599	pup	Male	3	Case	0	0	0	1	1	0	0	0	Secondary_bacterial_infection
ES-2603	Yearling	Male	3	Case	0	0	0	1	0	0	0	0	Secondary_bacterial_infection
ES-2641	Yearling	Male	3	Case	0	1	0	1	0	0	0	0	Secondary_bacterial_infection
ES-2690	pup	Male	3	Case	1	0	0	1	1	0	0	0	Secondary_bacterial_infection
ES-2729	pup	Female	3	Case	0	0	0	1	0	0	0	0	Secondary_bacterial_infection
ES-2774	pup	Male	3	Case	0	0	0	1	1	0	0	1	Secondary_bacterial_infection
ES-2775	pup	Male	3	Case	1	1	0	1	0	0	0	1	Secondary_bacterial_infection
ES-2782	pup	Female	3	Case	1	0	0	1	0	0	0	0	Secondary_bacterial_infection
ES-2794	pup	Female	3	Case	1	0	0	1	0	0	0	0	Secondary_bacterial_infection
ES-2795	pup	Male	3	Case	1	0	0	1	0	0	0	1	Secondary_bacterial_infection
ES-2830	pup	Female	3	Case	0	0	0	1	0	0	0	1	Secondary_bacterial_infection
ES-2850	pup	Male	3	Case	1	0	0	1	1	0	0	0	Secondary_bacterial_infection
ES-2876	pup	Female	3	Case	0	0	0	1	0	0	0	0	Secondary_bacterial_infection
ES-2936	pup	Male	3	Case	0	0	0	1	0	0	0	0	Secondary_bacterial_infection
ES-2945	pup	Female	3	Case	1	1	0	0	0	0	0	0	Secondary_bacterial_infection
ES-3019	pup	Female	3	Case	1	0	0	1	0	0	0	0	Secondary_bacterial_infection
ES-3159	pup	Male	3	Case	1	0	0	1	0	0	0	0	Secondary_bacterial_infection
ES-3208	pup	Male	3	Case	0	0	0	1	0	0	0	0	Secondary_bacterial_infection
ES-3252	Yearling	Female	3	Case	0	0	0	1	0	0	0	0	Secondary_bacterial_infection
ES-3289	pup	Male	3	Case	0	0	0	1	0	0	0	0	Secondary_bacterial_infection
ES-3330	Yearling	Female	3	Case	0	0	0	1	0	0	0	0	Secondary_bacterial_infection
ES-3351	pup	Female	3	Case	1	1	0	1	0	0	0	0	Secondary_bacterial_infection
ES-3369	pup	Male	3	Case	0	0	0	1	0	0	0	0	Secondary_bacterial_infection
ES-2581	pup	Female	4	Control	1	0	0	0	1	0	0	0	Congenital_defect
ES-2730	pup	Female	4	Control	0	1	0	0	1	0	0	0	Congenital_defect
ES-2741	pup	Male	4	Control	0	0	0	0	1	0	0	0	Congenital_defect
ES-2763	pup	Female	4	Control	1	0	0	0	1	0	0	0	Congenital_defect
ES-2820	pup	Male	4	Control	0	0	0	0	1	0	0	0	Congenital_defect
ES-2854	pup	Male	4	Control	1	0	0	0	1	0	0	0	Congenital_defect
ES-2857	pup	Male	4	Control	0	0	0	0	1	0	0	0	Congenital_defect
ES-2989	pup	Male	4	Control	1	0	0	0	1	0	0	0	Congenital_defect
ES-2999	pup	Female	4	Control	1	0	0	0	1	0	0	0	Congenital_defect
ES-3060	pup	Male	4	Control	0	0	0	0	1	0	0	0	Congenital_defect
ES-3061	pup	Male	4	Control	0	1	0	0	1	0	0	0	Congenital_defect
ES-3149	Pup	Female	4	Control	0	1	0	0	1	0	0	0	Congenital_defect
ES-3211	pup	Male	4	Control	1	0	0	0	1	0	0	0	Congenital_defect
ES-3217	pup	Male	4	Control	0	0	0	0	1	0	0	0	Congenital_defect
ES-3218	pup	Male	4	Control	0	0	0	0	1	0	0	0	Congenital_defect
ES-3223	pup	Male	4	Control	0	0	0	0	1	0	0	0	Congenital_defect
ES-3255	pup	Male	4	Control	1	0	0	0	1	0	0	0	Congenital_defect
ES-3304	pup	Male	4	Control	1	0	0	0	1	0	0	0	Congenital_defect
ES-2695	pup	Male	5	Case	0	0	0	0	0	1	0	0	Protozoa
ES-2714	Pup	Female	5	Case	1	0	0	0	0	1	0	0	Protozoa
ES-2715	Pup	Male	5	Case	1	1	0	0	0	1	0	0	Protozoa
ES-3347	pup	Female	5	Case	0	0	0	0	0	1	0	0	Protozoa
ES-2576	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2586	pup	Female	6	Case	1	0	0	0	0	0	1	1	Otostrongylis
ES-2588	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2589	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2594	pup	Male	6	Case	0	0	0	0	1	0	1	0	Otostrongylis
ES-2624	pup	Male	6	Case	0	0	0	0	0	0	1	1	Otostrongylis
ES-2692	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2697	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2698	pup	Male	6	Case	1	0	0	0	0	0	1	0	Otostrongylis
ES-2740	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2772	pup	Female	6	Case	1	0	0	0	0	0	1	0	Otostrongylis
ES-2805	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2808	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2810	pup	Male	6	Case	0	0	0	0	1	0	1	0	Otostrongylis
ES-2811	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2821	pup	Female	6	Case	0	0	0	0	0	1	1	0	Otostrongylis
ES-2825	pup	Female	6	Case	0	1	0	0	0	0	1	0	Otostrongylis
ES-2845	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2895	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2906	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2909	pup	Female	6	Case	0	0	0	1	0	0	1	0	Otostrongylis
ES-2910	pup	Female	6	Case	1	0	0	0	0	0	1	0	Otostrongylis
ES-2913	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2915	pup	Female	6	Case	1	0	0	0	0	0	1	0	Otostrongylis
ES-2919	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2920	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2923	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2927	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2929	pup	Female	6	Case	1	0	0	0	0	0	1	0	Otostrongylis
ES-2930	pup	Female	6	Case	1	0	0	0	0	0	1	0	Otostrongylis
ES-2943	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2944	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2946	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2948	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2952	pup	Female	6	Case	1	0	0	0	0	0	1	0	Otostrongylis
ES-2954	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2955	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2957	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-2960	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-3124	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-3129	pup	Male	6	Case	0	1	0	0	0	0	1	0	Otostrongylis
ES-3200	pup	Male	6	Case	1	1	0	0	0	0	1	0	Otostrongylis
ES-3225	weaner	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-3231	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-3232	Yearling	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-3287	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-3296	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-3307	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-3311	pup	Male	6	Case	1	0	0	0	0	0	1	0	Otostrongylis
ES-3314	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-3323	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-3329	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-3331	Yearling	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-3335	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-3342	pup	Male	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-3344	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-3350	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-3356	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
ES-3358	pup	Female	6	Case	1	0	0	0	0	0	1	0	Otostrongylis
ES-3359	pup	Male	6	Case	1	0	0	0	0	0	1	0	Otostrongylis
ES-3361	pup	Female	6	Case	0	0	0	0	1	0	1	0	Otostrongylis
ES-3368	pup	Female	6	Case	0	0	0	0	0	0	1	0	Otostrongylis
